8.3 12238.4
-14.9925 -2.34454  0.000103312 0.0306534 -0.96676 -0.195738 
-15.0539 -1.85861  0.000100837 0.0305457 -0.977427 -0.136385 
-15.0847 -1.44886  0.000108136 0.0308578 -0.982892 -0.0883474 
-15.0992 -1.08089  0.000114581 0.0311203 -0.985781 -0.0441822 
-15.1035 -0.730635  0.000118078 0.0312579 -0.986706 -0.00289948 
-15.0992 -0.38298  0.000118198 0.0312626 -0.985968 0.0378491 
-15.0854 -0.024039  0.000114992 0.0311366 -0.983441 0.0802025 
-15.057 0.369027  0.000109754 0.0309249 -0.978698 0.125484 
-15.0013 0.830743  0.000115335 0.0311502 -0.969575 0.179875 
-14.7055 -3.33384  0.000105704 0.0307557 -0.93541 -0.314171 
-14.7776 -2.95491  0.000124385 0.0314987 -0.951221 -0.262388 
-14.8123 -2.66263  0.000144579 0.0322107 -0.957935 -0.235012 
-14.8543 -2.28625  0.000181105 0.0333273 -0.967832 -0.184251 
-14.8943 -1.87599  0.000190563 0.0335899 -0.974785 -0.142303 
-14.9184 -1.4914  0.000207957 0.03405 -0.979963 -0.0965519 
-14.9319 -1.11877  0.000221779 0.0343967 -0.98309 -0.051065 
-14.9368 -0.748826  0.000229287 0.0345782 -0.984275 -0.00669244 
-14.9334 -0.383227  0.000231479 0.0346304 -0.983642 0.0368316 
-14.9224 -0.0242651  0.000228136 0.0345506 -0.981296 0.0794575 
-14.9033 0.334288  0.000219477 0.03434 -0.977501 0.119772 
-14.8728 0.707917  0.000208849 0.0340729 -0.972867 0.154699 
-14.8377 1.06356  0.000200389 0.0338532 -0.963587 0.206073 
-14.8133 1.32634  0.000173486 0.033109 -0.960361 0.223283 
-14.7621 1.65258  0.000168717 0.0329687 -0.948253 0.268286 
-14.3362 -4.31298  9.45911e-05 0.0302646 -0.889632 -0.426935 
-14.4458 -3.93169  0.000120451 0.0313496 -0.912289 -0.376008 
-14.4879 -3.67419  0.000154513 0.0325333 -0.920838 -0.353028 
-14.5322 -3.37878  0.000194638 0.0337003 -0.930643 -0.322852 
-14.5977 -2.9936  0.000224719 0.0344682 -0.944743 -0.276503 
-14.6463 -2.63046  0.00026726 0.0354337 -0.956042 -0.231044 
-14.6884 -2.25541  0.000303684 0.0361716 -0.96566 -0.183972 
-14.7219 -1.88701  0.00032645 0.0365997 -0.972166 -0.145565 
-14.7459 -1.51919  0.000351983 0.0370535 -0.97752 -0.10107 
-14.7613 -1.14806  0.000371648 0.0373867 -0.980945 -0.0562008 
-14.7676 -0.776341  0.000384747 0.0376013 -0.982401 -0.0122363 
-14.765 -0.411153  0.000393603 0.0377431 -0.98198 0.0304455 
-14.7547 -0.0593614  0.000398732 0.0378243 -0.97987 0.0713809 
-14.7387 0.274846  0.000397809 0.0378098 -0.976502 0.108827 
-14.7183 0.59531  0.000381851 0.0375542 -0.972842 0.139608 
-14.6926 0.91719  0.000382674 0.0375676 -0.966774 0.176235 
-14.6688 1.21067  0.00036455 0.0372679 -0.961197 0.206731 
-14.6352 1.52176  0.000338944 0.0368249 -0.95394 0.240006 
-14.603 1.80783  0.00031427 0.0363735 -0.944101 0.277718 
-14.5801 2.03342  0.000262276 0.0353269 -0.940417 0.291971 
-14.5217 2.32382  0.000244433 0.0349314 -0.92614 0.332053 
-13.9089 -5.11508  9.40855e-05 0.0302412 -0.839838 -0.517702 
-14.0508 -4.74045  0.000121771 0.0314001 -0.865618 -0.473787 
-14.1169 -4.45639  0.000167416 0.03293 -0.875888 -0.452229 
-14.2046 -4.10401  0.000207959 0.0340501 -0.895488 -0.409735 
-14.2751 -3.76749  0.000274001 0.0355757 -0.909879 -0.373154 
-14.341 -3.42269  0.000326722 0.0366046 -0.925598 -0.329914 
-14.4098 -3.05  0.000360374 0.0371974 -0.939136 -0.288936 
-14.4711 -2.67072  0.000416074 0.038093 -0.951709 -0.242634 
-14.5224 -2.29329  0.000458005 0.0387095 -0.962203 -0.196814 
-14.5622 -1.92323  0.000495427 0.0392248 -0.970179 -0.152776 
-14.5913 -1.55198  0.00053075 0.0396852 -0.976147 -0.107083 
-14.6102 -1.17891  0.000559072 0.0400379 -0.979964 -0.0620954 
-14.6185 -0.809345  0.000582023 0.0403142 -0.981697 -0.018626 
-14.6165 -0.448444  0.000602137 0.0405495 -0.981515 0.0231505 
-14.6058 -0.101025  0.000621015 0.0407652 -0.979633 0.0629868 
-14.5885 0.227514  0.000637248 0.0409467 -0.976413 0.0998833 
-14.5669 0.535204  0.000642808 0.0410082 -0.972529 0.131898 
-14.5419 0.829022  0.000654169 0.0411323 -0.967887 0.160857 
-14.5164 1.1082  0.000668343 0.041285 -0.962535 0.188901 
-14.4924 1.37387  0.000649361 0.0410799 -0.9578 0.212276 
-14.4712 1.62923  0.000631624 0.0408843 -0.952407 0.235947 
-14.4548 1.86711  0.000580141 0.0402919 -0.946946 0.25954 
-14.4285 2.12346  0.000525445 0.0396176 -0.939317 0.287436 
-14.3848 2.40508  0.000463755 0.0387907 -0.928373 0.321748 
-14.3093 2.71735  0.000481262 0.0390333 -0.913898 0.356653 
-13.5541 -5.58256  0.000118778 0.0312852 -0.804285 -0.57127 
-13.6964 -5.2234  0.00016023 0.0327121 -0.823501 -0.542055 
-13.8256 -4.84541  0.000215888 0.0342508 -0.850661 -0.496072 
-13.9061 -4.52829  0.000294269 0.0359876 -0.867834 -0.46233 
-13.9887 -4.19806  0.000349018 0.0370022 -0.885606 -0.426011 
-14.0742 -3.85181  0.000413694 0.0380566 -0.902051 -0.388769 
-14.16 -3.4872  0.000481113 0.0390313 -0.919567 -0.344273 
-14.2391 -3.11666  0.000531161 0.0396905 -0.934701 -0.301086 
-14.3078 -2.74233  0.000590605 0.0404154 -0.947549 -0.257051 
-14.3664 -2.36201  0.00064544 0.041037 -0.958761 -0.2108 
-14.4131 -1.9809  0.000702311 0.0416412 -0.967737 -0.163558 
-14.4477 -1.59949  0.000753068 0.0421502 -0.97436 -0.116397 
-14.4702 -1.22047  0.000796986 0.0425703 -0.978657 -0.0704373 
-14.4807 -0.848379  0.000836807 0.0429364 -0.98075 -0.026289 
-14.4799 -0.486999  0.000874595 0.043272 -0.980865 0.0158109 
-14.4695 -0.140005  0.000912423 0.0435972 -0.979275 0.0554426 
-14.4515 0.188429  0.000951942 0.0439262 -0.976378 0.0916491 
-14.4286 0.494059  0.000993781 0.0442635 -0.97268 0.123497 
-14.403 0.776001  0.00104457 0.044659 -0.968493 0.150945 
-14.3776 1.03282  0.00110024 0.0450763 -0.964026 0.174804 
-14.3556 1.2637  0.00112202 0.0452352 -0.960145 0.193666 
-14.3382 1.47596  0.00111015 0.0451489 -0.956877 0.20851 
-14.3256 1.68143  0.00106971 0.0448494 -0.952991 0.225563 
-14.3166 1.888  0.00100002 0.044313 -0.948223 0.245783 
-14.307 2.10607  0.000915636 0.0436243 -0.942208 0.269258 
-14.2913 2.33788  0.000798414 0.0425837 -0.936455 0.291035 
-14.2493 2.61508  0.00076152 0.0422325 -0.927033 0.318739 
-13.2534 -5.93227  0.000145685 0.0322474 -0.77292 -0.612567 
-13.3941 -5.58819  0.000215342 0.0342372 -0.798212 -0.577073 
-13.5154 -5.23959  0.000280597 0.0357123 -0.821386 -0.541462 
-13.6134 -4.91323  0.000358535 0.037166 -0.840237 -0.509728 
-13.7052 -4.59508  0.000450087 0.0385965 -0.858583 -0.476608 
-13.8014 -4.26407  0.000524088 0.0396003 -0.878356 -0.438711 
-13.8973 -3.92079  0.000597025 0.0404903 -0.896359 -0.400377 
-13.9901 -3.56237  0.000669493 0.0412973 -0.913441 -0.359149 
-14.0762 -3.1928  0.000741695 0.0420385 -0.929292 -0.315303 
-14.1516 -2.81705  0.000814971 0.0427373 -0.943068 -0.270309 
-14.2161 -2.43365  0.000884922 0.0433618 -0.954941 -0.223539 
-14.2685 -2.04528  0.000958447 0.0439794 -0.964609 -0.175443 
-14.3078 -1.65617  0.00102827 0.0445338 -0.971878 -0.127368 
-14.3339 -1.27119  0.00109451 0.045034 -0.976719 -0.0804792 
-14.3469 -0.895065  0.00115947 0.0455031 -0.979258 -0.0355015 
-14.348 -0.53174  0.0012238 0.0459484 -0.979766 0.00701612 
-14.3389 -0.185047  0.00128925 0.0463839 -0.978603 0.0462113 
-14.3218 0.141425  0.00136433 0.0468632 -0.976189 0.0813955 
-14.2992 0.444064  0.00146143 0.0474545 -0.972844 0.112693 
-14.2741 0.718926  0.00157644 0.0481178 -0.968962 0.139592 
-14.2495 0.963812  0.00168651 0.048719 -0.965069 0.161595 
-14.2279 1.18013  0.00175774 0.0490925 -0.961583 0.179194 
